dataset1,dataset2, dataset1Cardinality, dataset2Cardinality, dataset1GridNPartitions, dataset2GridNPartitions,resultSJSize,selectivity, BNLJMBRTests, BNLJjobsTimes, BNLJjobsTimesRelStdDev, BNLJsizeJoins, BNLJsizeJoinsRelStdDev,PBSMMBRTests, PBSMjobsTimes, PBSMjobsTimesRelStdDev, PBSMsizeJoins, PBSMsizeJoinsRelStdDev,DJMBRTests, DJjobsTimes, DJjobsTimesRelStdDev, DJsizeJoins, DJsizeJoinsRelStdDev,REPJMBRTests, REPJjobsTimes, REPJjobsTimesRelStdDev, REPJsizeJoins, REPJsizeJoinsRelStdDev,Smallest cardinality,Class
parks-00458.csv,lakes-00458.csv,21469,29762,7,15,5254,8.22273E-06,0,0,0,0,0,328043,17.283,0,0,0,0,0,0,0,0,0,0,0,0,0,21469,1
parks-00054.csv,lakes-00054.csv,49814,21383,16,12,7593,7.12842E-06,0,0,0,0,0,375865,303.426,0,0,0,0,0,0,0,0,0,0,0,0,0,21383,1
parks-00175.csv,lakes-00175.csv,29848,20717,4,11,5033,8.13926E-06,0,0,0,0,0,230505,95.824,0,0,0,0,0,0,0,0,0,0,0,0,0,20717,1
parks-00451.csv,lakes-00451.csv,22276,18910,3,6,7262,1.72396E-05,0,0,0,0,0,133613,250.095,0,0,0,0,0,0,0,0,0,0,0,0,0,18910,1
parks-00454.csv,lakes-00454.csv,18889,21269,2,5,6762,1.68314E-05,0,0,0,0,0,145002,5.705,0,0,0,0,0,0,0,0,0,0,0,0,0,18889,1
parks-00450.csv,lakes-00450.csv,25310,18175,9,7,8130,1.76736E-05,0,0,0,0,0,116653,18.995,0,0,0,0,0,0,0,0,0,0,0,0,0,18175,1
parks-00169.csv,lakes-00169.csv,17913,57317,10,64,21952,2.13807E-05,0,0,0,0,0,387129,67.894,0,0,0,0,0,0,0,0,0,0,0,0,0,17913,1
parks-00376.csv,lakes-00376.csv,17854,55766,6,28,21618,2.17125E-05,0,0,0,0,0,481983,17.679,0,0,0,0,0,0,0,0,0,0,0,0,0,17854,1
parks-00407.csv,lakes-00407.csv,17734,308931,3,30,14077,2.56946E-06,0,0,0,0,0,337222,7.52,0,0,0,0,0,0,0,0,0,0,0,0,0,17734,1
parks-00412.csv,lakes-00412.csv,17606,36756,4,12,7465,1.15356E-05,0,0,0,0,0,274482,13.769,0,0,0,0,0,0,0,0,0,0,0,0,0,17606,1
